ParticleID,Total Distance,Net Displacement,Straightness Index,Average Velocity,Max Velocity,Velocity Std Dev,Min Distance to Shore,Avg Distance to Shore,Shore Distance Std Dev,Total Time Steps,Direction Change Std Dev,Beached,Beaching Time Step,Start Latitude,Start Longitude,End Latitude,End Longitude
0,22.18727853530649,6.328531427819566,0.2852324325288029,0.07828899478745806,0.30203465233313875,0.05107826162836411,0.0,182768.05173353525,97507.7543702808,8748,86.60875088087984,True,8748.0,52.2008,4.30033,58.1108,6.56356
1,25.376830044056433,9.502998213327205,0.37447538549255976,0.07775342483676212,0.3789147057386398,0.0563036653677397,0.0,200436.8565530031,91991.10548881222,10072,93.397269748976,True,10072.0,51.2559,2.59457,60.4621,4.95102
2,24.43577281901493,8.201709564724904,0.33564355117684946,0.07866225248270252,0.3856685463659177,0.05613178646721989,0.0,219876.6970065832,93284.99885483045,9587,93.72461271092973,True,9587.0,51.335,2.95569,59.3114,4.8649
3,24.61630596948831,7.9810348766873584,0.3242174064045101,0.07953289949931135,0.3287219694513891,0.0554024109295887,0.0,221431.3334816916,99952.04959882147,9552,93.21079647567662,True,9552.0,51.4506,3.21597,59.1869,5.17724
4,24.30427030584999,7.2999151476232935,0.3003552485122838,0.08032916106868858,0.3344422720798912,0.05444797897477934,0.0,222396.04584729063,89233.13529791909,9337,91.81413141598804,True,9337.0,51.608,3.3925,58.4858,5.83885
5,24.513158129767845,7.090406572439977,0.2892490039392214,0.0807726532178238,0.33337903297341603,0.055044663705501734,0.0,217174.92806615416,86366.11218399239,9365,90.01031681571887,True,9365.0,51.7544,3.54368,58.3482,6.15053
6,24.66709758968109,6.935358835193754,0.28115828422777234,0.08223259963469488,0.3285754486577018,0.054854986997002184,0.0,212789.35660480664,84005.96343754264,9257,89.32649129922821,True,9257.0,51.8743,3.7201,58.2777,6.38387
7,24.528927426102925,6.679942347835047,0.27232916595963585,0.08273180139900874,0.3119107288472136,0.05468138486915178,0.0,205949.13886392742,84629.05479578926,9150,88.28853891903718,True,9150.0,51.999,3.88805,58.0771,6.65903
8,24.190541735970736,6.617949801109102,0.27357592373668815,0.08112478307721752,0.3037380879063408,0.053588517237326216,0.0,191322.14308682093,91154.34864189605,9203,87.01098663950502,True,9203.0,52.0817,4.08952,58.1106,6.81892
9,19.10117809138424,6.892325914820048,0.36083250372545833,0.07789292603868268,0.30747159662154167,0.05213044424102078,0.0,196951.9334995245,89577.56437768988,7570,84.41442332276145,True,7570.0,52.3192,4.3583,59.1484,5.28899
10,18.84161407695865,6.902680159394611,0.3663529107007811,0.07718849174407362,0.3002181759754063,0.05185257254368269,0.0,187222.95840631635,92049.35438784935,7535,83.75035959729689,True,7535.0,52.4736,4.40882,59.3313,5.19555
11,18.809918528458187,6.960176683281826,0.3700269447074707,0.07363945271326924,0.2882550171167884,0.05227245235241275,0.0,169775.75101195942,96696.72543532724,7884,83.08576785242744,True,7884.0,52.5756,4.51779,59.496,5.26084
12,18.493586985980063,7.178744725932243,0.38817481602538384,0.07586872126326466,0.2740568417682726,0.052663679252369325,0.0,163567.13663572093,85224.99671314681,7524,82.12712732258751,True,7524.0,52.6934,4.51793,59.849,5.09392
13,0.1396635472560346,0.1375718953856486,0.9850236377961133,0.09953499779543383,0.13184567937918937,0.012169181504765769,0.0,7187.318795454544,3921.007230070329,43,9.795932907802161,True,43.0,52.8569,4.5853,52.9654,4.66988
14,17.919127688047503,7.424120726557452,0.4143126192191555,0.0765348668780927,0.27924942661534685,0.05346649703956837,0.0,144168.1274532817,78366.89666865974,7227,81.05933372689638,True,7227.0,53.0245,4.56854,60.4407,4.91139
15,17.559560832314755,7.39759205788613,0.4212857103050314,0.07575442275796529,0.28333974959048724,0.05403683262461806,0.0,135599.71913802263,76189.83766588205,7155,80.15355816795882,True,7155.0,53.1617,4.66219,60.5578,4.81076
16,17.25705012185136,7.368422139101422,0.42698039856599357,0.07732084077536641,0.2911491067357068,0.05414679842555551,0.0,131386.7980768505,69806.79531687578,6889,79.85947212275062,True,6889.0,53.2675,4.73766,60.6356,4.80656
17,17.174055571365184,7.329062885314877,0.42675201875641083,0.07279762116223598,0.2969356974514853,0.05490603382828957,0.0,112647.02292879346,71846.22537321305,7281,78.40995847316674,True,7281.0,53.3734,4.84688,60.702,4.92925
18,16.435142971883373,7.209703312453295,0.4386760324986151,0.07548729631366743,0.30114535436728884,0.0539465369240264,0.0,106596.456635828,68014.53127961956,6720,76.765586883166,True,6720.0,53.4386,5.04824,60.6439,4.7963
19,15.863313686541073,7.082285829596265,0.4464568985737889,0.07329813685521021,0.31032836128204594,0.053737775831628996,0.0,95031.93401691364,68392.33921738566,6680,74.86339033638947,True,6680.0,53.4785,5.23303,60.5497,4.83692
20,15.206782242366401,6.974795258643799,0.4586634534169812,0.07032743052243598,0.31532018475511525,0.05380704587168294,0.0,84834.13294266666,67789.68485707158,6674,73.48421793220409,True,6674.0,53.5034,5.42622,60.4615,4.94392
21,12.113190696576064,5.645622397406685,0.466072279288271,0.082306048106668,0.31753028865290944,0.054287795364025775,0.0,108881.46284419013,56910.771665396765,4543,76.30036234194566,True,4543.0,53.5185,5.61923,59.1482,5.19552
22,11.736744125601028,5.528174395991859,0.4710143065940586,0.08159664287270876,0.3201928517409469,0.05540753549377623,0.0,95773.5024711574,58341.82851261497,4440,75.46485338726676,True,4440.0,53.5583,5.91293,59.0648,5.42388
23,11.404255053623334,5.5392801599124795,0.485720473092414,0.08188831077839773,0.3184000942603504,0.05606187282325235,0.0,88172.68713330233,60051.00743852324,4299,74.9650175711734,True,4299.0,53.5684,6.08927,59.0646,5.39977
24,10.357166167317619,5.1008800315631815,0.4924976532344511,0.08212113525278918,0.3227842464820735,0.057911510138650896,0.0,82468.49385184901,63560.80726422084,3893,75.9173868992283,True,3893.0,53.6036,6.25722,58.6569,5.56214
25,9.310044866937453,4.896530635470386,0.52594060559894,0.0850330540681422,0.33067836315368443,0.05953315873219083,0.0,79144.2827788524,65413.07800657284,3380,75.185934594003,True,3380.0,53.6337,6.45037,58.4897,5.82166
26,8.218089814457997,4.6803324507987645,0.569515855444255,0.07961798440184438,0.34396196572295606,0.0625465620747067,0.0,69992.91870092376,67253.54702253555,3186,71.93631104480149,True,3186.0,53.6886,6.60998,58.3469,6.15638
27,7.048097741012446,4.383050226965238,0.6218770493860405,0.08409207829133086,0.34950806370812104,0.06373770525134578,0.0,69267.78011164605,67960.75001146607,2587,70.53615010443603,True,2587.0,53.7431,6.84523,58.1169,6.56062
28,6.539319037090891,4.3226678581750875,0.6610272160842741,0.08904143702594526,0.35237116898236726,0.0646156210144601,0.0,70730.90226697532,63831.388030836366,2267,68.25381938099306,True,2267.0,53.7581,7.04676,58.0691,6.72937
29,6.137743720572786,4.197639949412052,0.6839060313551704,0.09126679847881608,0.3532287392611196,0.06566616464693333,0.0,65044.279028887824,57088.40014824121,2076,63.242706652711014,True,2076.0,53.8029,7.26502,57.9941,7.03259
30,5.225723316728745,4.196101177283505,0.8029704067666227,0.12090271486727328,0.35416921235194904,0.05993055791233489,0.0,80492.92784719101,43192.010801183584,1334,40.79565805604162,True,1334.0,53.8178,7.5001,57.9908,7.0604
31,5.8197112277257865,4.176745172751144,0.7176894195115113,0.08571324801032974,0.3482615498414948,0.06578199036739428,0.0,43561.600962279445,41585.00448682628,2096,60.19513469887209,True,2096.0,53.8429,7.7184,58.019,7.64499
32,6.309285458447592,4.224404124323335,0.6695534941547493,0.0628250730073544,0.32328265941123413,0.062345889832548955,0.0,27841.180069945178,30865.47912473816,3100,77.32044114321192,True,3100.0,53.8529,7.91994,58.0772,7.9496
33,24.831727030988098,8.818758028345036,0.35514074463447104,0.06900467910688451,0.35747942108742425,0.053634108614766474,0.0,99382.76698263845,60247.9552209644,11104,94.38161687230466,True,11104.0,51.0719,1.83061,59.1757,5.30896
34,26.368343873943424,9.839387480305875,0.37315151559552157,0.06745848570132586,0.38177589087316655,0.05457707641737165,0.0,110101.95843145739,66620.0887873157,12061,92.91201741824706,True,12061.0,51.0984,2.03202,60.5224,4.86076
35,24.92700720424328,9.411587250092301,0.37756587355140586,0.07408626066032747,0.39059865795212356,0.05577800591576357,0.0,148489.8719530001,65946.2144806191,10382,93.49166786206574,True,10382.0,51.1407,2.24183,60.1242,5.04802
36,25.01131195769083,9.440926578975185,0.37746626786093707,0.07593229421316505,0.387034644818781,0.05584598810116932,0.0,170065.58591499264,73022.78360570052,10164,93.74329975652135,True,10164.0,51.1564,2.43485,60.2445,4.99171
37,28.21949793106966,9.60790807843206,0.3404705534414825,0.06710181159945329,0.34818799632526104,0.05164053476796627,0.0,85500.3631548486,59587.17152971622,12978,93.77672512285831,True,12978.0,51.2199,1.70501,60.2593,4.96095
38,26.177630630356433,9.72741448651182,0.3715926251641581,0.06731144790877934,0.38246120712171583,0.05463636696597313,0.0,110156.67270019249,67980.90196010702,12000,92.78474929287698,True,12000.0,51.2464,1.90645,60.5052,4.88927
39,25.006831642023588,9.371402772776337,0.3747537035850572,0.07518945945840919,0.3888030374392669,0.055840801587120015,0.0,158782.96268704208,70640.37991707351,10263,93.68870925240473,True,10263.0,51.3097,2.12475,60.2335,4.98639
40,25.490993528085077,9.436683074836205,0.37019675456898926,0.0781855865698807,0.3787565109209345,0.05630189352595942,0.0,206448.72168115873,94699.9295173455,10062,92.8844122458543,True,10062.0,51.394,2.41868,60.5033,4.88275
41,25.918218993682117,9.068766491998788,0.34989929262536945,0.08162108093101722,0.3699734608536131,0.05716448141349643,0.0,230979.27865860626,102948.91953075537,9800,92.40665423843143,True,9800.0,51.541,2.71265,60.3244,4.96973
42,25.272116116638603,7.969486600961195,0.315347023738715,0.08086250200308276,0.336062654798417,0.05482543380344516,0.0,232079.37704923286,98916.32083317326,9645,91.49854404010725,True,9645.0,51.6875,2.97302,59.286,5.37625
43,24.67423216809629,7.183081378461477,0.29111671356279045,0.08168335667130253,0.3374718713413608,0.05482532349667024,0.0,234880.45015981983,86717.1274427154,9322,90.83016343233399,True,9322.0,51.8283,3.1578,58.4861,5.85416
44,24.773599590262883,6.98640517334201,0.28201009497578117,0.08207172141940702,0.33230897950876986,0.05522896594414802,0.0,227644.1540886131,86571.19216324478,9315,89.7666722713661,True,9315.0,51.948,3.35093,58.3399,6.17112
45,24.804706021233226,6.820278549362923,0.2749590558954682,0.08201481131822712,0.3185336030311402,0.05473763996639307,0.0,214523.18643113013,91036.61177574226,9334,88.17452982584778,True,9334.0,52.088,3.58606,58.2563,6.49609
46,23.971799961847296,6.562631454713873,0.2737646511800839,0.08155734533726301,0.31824762932188516,0.05319685719386653,0.0,204967.2791788824,96745.50356345643,9072,87.18420827419405,True,9072.0,52.2122,3.7624,58.0729,6.71542
47,19.33736264182319,6.976638852656773,0.36078543811179165,0.0780901415732795,0.31402804887621105,0.05236393663304863,0.0,214249.4039357227,89690.3293004001,7644,84.53662185067496,True,7644.0,52.3822,3.93039,59.2431,5.19591
48,19.21266752207872,7.03264239262171,0.36604195562849207,0.07807904004378653,0.3087533777386087,0.05227548020011382,0.0,206303.61573346055,90016.63255287602,7596,84.25999765330297,True,7596.0,52.4491,4.00598,59.3877,5.15223
